Using workers=8 (SLURM_CPUS_PER_TASK=18)
Total granules found: 840
Submitting 840 granules to the pool...
[224/840] [217] HLS.S30.T10TEM.2021129T184921.v2.0: wrote 8 files
[225/840] [224] HLS.S30.T10TDL.2021130T190909.v2.0: wrote 8 files
[226/840] [229] HLS.S30.T10TCM.2021132T185921.v2.0: wrote 8 files
[227/840] [230] HLS.S30.T10TFL.2021132T185921.v2.0: wrote 8 files
[228/840] [231] HLS.S30.T10TEL.2021132T185921.v2.0: wrote 8 files
[229/840] [232] HLS.S30.T10TDL.2021132T185921.v2.0: wrote 8 files
[230/840] [222] HLS.S30.T10TDM.2021130T190909.v2.0: wrote 8 files
[231/840] [233] HLS.S30.T10TCL.2021132T185921.v2.0: wrote 8 files
[232/840] [226] HLS.S30.T10TFM.2021132T185921.v2.0: wrote 8 files
[233/840] [235] HLS.L30.T10TCM.2021133T190235.v2.0: wrote 8 files
[234/840] [227] HLS.S30.T10TEM.2021132T185921.v2.0: wrote 8 files
[235/840] [228] HLS.S30.T10TDM.2021132T185921.v2.0: wrote 8 files
[236/840] [236] HLS.S30.T10TGM.2021134T184919.v2.0: wrote 8 files
[237/840] [240] HLS.S30.T11TKF.2021134T184919.v2.0: wrote 8 files
[238/840] [237] HLS.S30.T11TKG.2021134T184919.v2.0: wrote 8 files
[239/840] [241] HLS.S30.T10TGL.2021134T184919.v2.0: wrote 8 files
[240/840] [234] HLS.L30.T10TDM.2021133T190235.v2.0: wrote 8 files
[241/840] [242] HLS.S30.T10TFL.2021134T184919.v2.0: wrote 8 files
[242/840] [243] HLS.S30.T10TEL.2021134T184919.v2.0: wrote 8 files
[243/840] [238] HLS.S30.T10TFM.2021134T184919.v2.0: wrote 8 files
[244/840] [246] HLS.L30.T10TFL.2021135T185039.v2.0: wrote 8 files
[245/840] [247] HLS.L30.T10TDL.2021135T185039.v2.0: wrote 8 files
[246/840] [248] HLS.L30.T10TEL.2021135T185039.v2.0: wrote 8 files
[247/840] [239] HLS.S30.T10TEM.2021134T184919.v2.0: wrote 8 files
[248/840] [253] HLS.S30.T10TCL.2021135T190911.v2.0: wrote 8 files
[249/840] [251] HLS.S30.T10TCM.2021135T190911.v2.0: wrote 8 files
[250/840] [244] HLS.L30.T10TFM.2021135T185015.v2.0: wrote 8 files
[251/840] [252] HLS.S30.T10TDL.2021135T190911.v2.0: wrote 8 files
[252/840] [254] HLS.L30.T10TGL.2021137T183818.v2.0: wrote 8 files
[253/840] [245] HLS.L30.T10TEM.2021135T185015.v2.0: wrote 8 files
[254/840] [257] HLS.L30.T11TKF.2021137T183818.v2.0: wrote 8 files
[255/840] [249] HLS.L30.T10TDM.2021135T185039.v2.0: wrote 8 files
[256/840] [250] HLS.S30.T10TDM.2021135T190911.v2.0: wrote 8 files
[257/840] [255] HLS.L30.T10TGM.2021137T183818.v2.0: wrote 8 files
[258/840] [256] HLS.L30.T11TKG.2021137T183818.v2.0: wrote 8 files
[259/840] [261] HLS.S30.T10TCM.2021137T185919.v2.0: wrote 8 files
[260/840] [262] HLS.S30.T10TFL.2021137T185919.v2.0: wrote 8 files
[261/840] [265] HLS.S30.T10TCL.2021137T185919.v2.0: wrote 8 files
[262/840] [263] HLS.S30.T10TEL.2021137T185919.v2.0: wrote 8 files
[263/840] [264] HLS.S30.T10TDL.2021137T185919.v2.0: wrote 8 files
[264/840] [258] HLS.S30.T10TFM.2021137T185919.v2.0: wrote 8 files
[265/840] [259] HLS.S30.T10TEM.2021137T185919.v2.0: wrote 8 files
[266/840] [260] HLS.S30.T10TDM.2021137T185919.v2.0: wrote 8 files
[267/840] [270] HLS.S30.T11TKF.2021139T184921.v2.0: wrote 8 files
[268/840] [266] HLS.S30.T10TGM.2021139T184921.v2.0: wrote 8 files
[269/840] [271] HLS.S30.T10TGL.2021139T184921.v2.0: wrote 8 files
[270/840] [267] HLS.S30.T11TKG.2021139T184921.v2.0: wrote 8 files
[271/840] [272] HLS.S30.T10TFL.2021139T184921.v2.0: wrote 8 files
[272/840] [273] HLS.S30.T10TEL.2021139T184921.v2.0: wrote 8 files
[273/840] [277] HLS.S30.T10TCL.2021140T190919.v2.0: wrote 8 files
[274/840] [275] HLS.S30.T10TCM.2021140T190919.v2.0: wrote 8 files
[275/840] [276] HLS.S30.T10TDL.2021140T190919.v2.0: wrote 8 files
[276/840] [268] HLS.S30.T10TFM.2021139T184921.v2.0: wrote 8 files
[277/840] [281] HLS.L30.T10TCL.2021142T185654.v2.0: wrote 8 files
[278/840] [269] HLS.S30.T10TEM.2021139T184921.v2.0: wrote 8 files
[279/840] [280] HLS.L30.T10TEL.2021142T185654.v2.0: wrote 8 files
[280/840] [282] HLS.L30.T10TDL.2021142T185654.v2.0: wrote 8 files
[281/840] [274] HLS.S30.T10TDM.2021140T190919.v2.0: wrote 8 files
[282/840] [283] HLS.L30.T10TCM.2021142T185654.v2.0: wrote 8 files
[283/840] [286] HLS.S30.T10TCM.2021142T185921.v2.0: wrote 8 files
[284/840] [279] HLS.L30.T10TEM.2021142T185630.v2.0: wrote 8 files
[285/840] [278] HLS.L30.T10TDM.2021142T185630.v2.0: wrote 8 files
[286/840] [287] HLS.S30.T10TFL.2021142T185921.v2.0: wrote 8 files
[287/840] [288] HLS.S30.T10TEL.2021142T185921.v2.0: wrote 8 files
[288/840] [290] HLS.S30.T10TCL.2021142T185921.v2.0: wrote 8 files
[289/840] [289] HLS.S30.T10TDL.2021142T185921.v2.0: wrote 8 files
[290/840] [284] HLS.S30.T10TEM.2021142T185921.v2.0: wrote 8 files
[291/840] [294] HLS.L30.T11TKF.2021144T184433.v2.0: wrote 8 files
[292/840] [285] HLS.S30.T10TDM.2021142T185921.v2.0: wrote 8 files
[293/840] [296] HLS.L30.T10TGL.2021144T184433.v2.0: wrote 8 files
[294/840] [295] HLS.L30.T10TEL.2021144T184433.v2.0: wrote 8 files
[295/840] [292] HLS.L30.T10TGM.2021144T184410.v2.0: wrote 8 files
[296/840] [291] HLS.L30.T11TKG.2021144T184410.v2.0: wrote 8 files
[297/840] [297] HLS.L30.T10TFL.2021144T184433.v2.0: wrote 8 files
[298/840] [293] HLS.L30.T10TEM.2021144T184433.v2.0: wrote 8 files
[299/840] [303] HLS.S30.T11TKF.2021144T184919.v2.0: wrote 8 files
[300/840] [299] HLS.S30.T10TGM.2021144T184919.v2.0: wrote 8 files
[301/840] [304] HLS.S30.T10TGL.2021144T184919.v2.0: wrote 8 files
[302/840] [300] HLS.S30.T11TKG.2021144T184919.v2.0: wrote 8 files
[303/840] [305] HLS.S30.T10TFL.2021144T184919.v2.0: wrote 8 files
[304/840] [306] HLS.S30.T10TEL.2021144T184919.v2.0: wrote 8 files
[305/840] [298] HLS.L30.T10TFM.2021144T184433.v2.0: wrote 8 files
[306/840] [308] HLS.S30.T10TCM.2021145T190911.v2.0: wrote 8 files
[307/840] [302] HLS.S30.T10TEM.2021144T184919.v2.0: wrote 8 files
[308/840] [309] HLS.S30.T10TDL.2021145T190911.v2.0: wrote 8 files
[309/840] [301] HLS.S30.T10TFM.2021144T184919.v2.0: wrote 8 files
[310/840] [310] HLS.S30.T10TCL.2021145T190911.v2.0: wrote 8 files
[311/840] [315] HLS.S30.T10TFL.2021147T185919.v2.0: wrote 8 files
[312/840] [314] HLS.S30.T10TCM.2021147T185919.v2.0: wrote 8 files
[313/840] [316] HLS.S30.T10TEL.2021147T185919.v2.0: wrote 8 files
[314/840] [317] HLS.S30.T10TDL.2021147T185919.v2.0: wrote 8 files
[315/840] [307] HLS.S30.T10TDM.2021145T190911.v2.0: wrote 8 files
[316/840] [318] HLS.S30.T10TCL.2021147T185919.v2.0: wrote 8 files
[317/840] [311] HLS.S30.T10TFM.2021147T185919.v2.0: wrote 8 files
[318/840] [319] HLS.L30.T10TCM.2021149T190245.v2.0: wrote 8 files
[319/840] [312] HLS.S30.T10TEM.2021147T185919.v2.0: wrote 8 files
[320/840] [313] HLS.S30.T10TDM.2021147T185919.v2.0: wrote 8 files
[321/840] [321] HLS.S30.T10TGM.2021149T184921.v2.0: wrote 8 files
