run,epoch,train_loss,train_mae,val_loss,val_mae,lr
resnet18_version_12_6675,12,0.3134,0.6595,0.3289,0.6792,1e-05
resnet18_version_12_6675,13,0.3087,0.6534,0.3246,0.6733,1e-05
resnet18_version_12_6675,14,0.3052,0.6483,0.3308,0.6769,1e-05
resnet18_version_12_6675,15,0.3006,0.6424,0.3248,0.6716,1e-05
resnet18_version_12_6675,16,0.2975,0.638,0.3315,0.6771,1e-05
resnet18_version_12_6675,17,0.2946,0.6334,0.3288,0.6774,5e-06
resnet18_version_12_6675,18,0.2837,0.6185,0.3273,0.6734,5e-06
resnet18_version_12_6675,19,0.2795,0.6127,0.3265,0.6744,5e-06
resnet18_version_12_6675,20,0.2765,0.6082,0.3294,0.6766,5e-06
resnet18_version_12_6675,21,0.2744,0.6051,0.3281,0.674,5e-06
resnet18_version_12_6675,22,0.272,0.6018,0.3299,0.6761,5e-06
resnet18_version_12_6675,23,0.2707,0.5998,0.3298,0.6756,2.5e-06
resnet18_version_12_6675,24,0.2663,0.5931,0.331,0.6774,2.5e-06
resnet18_version_12_6675,25,0.2626,0.5881,0.3302,0.6775,2.5e-06
resnet18_version_12_6675,26,0.2613,0.5858,0.3308,0.6786,2.5e-06
resnet18_version_12_6675,27,0.2606,0.5845,0.3302,0.6754,2.5e-06
resnet18_version_12_6675,28,0.2591,0.5827,0.3323,0.6788,2.5e-06
resnet18_version_12_6675,29,0.2588,0.582,0.3312,0.6782,1.25e-06
resnet18_version_12_6675,30,0.2552,0.5767,0.3316,0.6778,1.25e-06
resnet18_version_12_6675,31,0.2545,0.5753,0.3315,0.6774,1.25e-06
resnet18_version_12_6675,32,0.2541,0.5747,0.3319,0.679,1.25e-06
resnet18_version_12_6675,33,0.2536,0.5743,0.3313,0.6793,1.25e-06
resnet18_version_12_6675,34,0.2528,0.5731,0.3321,0.6787,1.25e-06
resnet18_version_12_6675,35,0.2525,0.5725,0.332,0.6784,6.25e-07
resnet18_version_12_6675,36,0.2512,0.5705,0.3319,0.6781,6.25e-07
resnet18_version_12_6675,37,0.2499,0.5682,0.3336,0.68,6.25e-07
resnet18_version_12_6675,38,0.2502,0.5689,0.3326,0.6782,6.25e-07
resnet18_version_12_6675,39,0.2494,0.5677,0.332,0.6782,6.25e-07
resnet18_version_12_6675,40,0.2496,0.5677,0.3326,0.6787,6.25e-07
resnet18_version_12_6675,41,0.2489,0.5671,0.3321,0.6782,3.13e-07
resnet18_version_12_6675,42,0.2487,0.5668,0.3328,0.6792,3.13e-07
resnet18_version_12_6675,43,0.2483,0.5657,0.3326,0.6794,3.13e-07
resnet18_version_12_6675,44,0.2483,0.5661,0.3326,0.6794,3.13e-07
resnet18_version_12_6675,45,0.2483,0.5661,0.3322,0.6789,3.13e-07
resnet18_version_12_6675,46,0.2483,0.5663,0.3328,0.6794,3.13e-07
resnet18_version_12_6675,47,0.2469,0.5644,0.3329,0.6789,1.56e-07
resnet18_version_12_6675,48,0.2474,0.5645,0.3326,0.6789,1.56e-07
resnet18_version_12_6675,49,0.247,0.5641,0.3315,0.6776,1.56e-07
resnet18_version_12_6675,50,0.2474,0.5642,0.3331,0.6791,1.56e-07
resnet18_version_12_6675,51,0.2477,0.5645,0.3324,0.6792,1.56e-07
resnet18_version_12_6675,52,0.2466,0.5634,0.3322,0.679,1.56e-07
resnet18_version_12_6675,53,0.2469,0.5638,0.3332,0.6794,7.81e-08
resnet18_version_12_6675,54,0.2471,0.564,0.3326,0.6784,7.81e-08
resnet18_version_12_6675,55,0.2465,0.5634,0.3335,0.6796,7.81e-08
resnet18_version_12_6675,56,0.2471,0.5642,0.3328,0.6792,7.81e-08
resnet18_version_12_6675,57,0.2462,0.5631,0.3333,0.6799,7.81e-08
resnet18_version_12_6675,58,0.2462,0.5628,0.3337,0.6804,7.81e-08
resnet18_version_12_6675,59,0.247,0.5641,0.333,0.6793,3.91e-08
resnet18_version_12_6675,60,0.2462,0.5634,0.3333,0.6798,3.91e-08
resnet18_version_12_6675,61,0.2462,0.5626,0.3331,0.6796,3.91e-08
resnet18_version_12_6675,62,0.2469,0.5635,0.3333,0.6799,3.91e-08
resnet18_version_12_6675,63,0.2457,0.5619,0.3326,0.679,3.91e-08
resnet18_version_12_6675,64,0.2469,0.5636,0.3332,0.6794,3.91e-08
resnet18_version_12_6675,65,0.2467,0.5634,0.3332,0.6795,1.95e-08
resnet18_version_12_6675,66,0.2463,0.563,0.3342,0.6802,1.95e-08
resnet18_version_12_6675,67,0.246,0.5623,0.3328,0.6791,1.95e-08
resnet18_version_12_6675,68,0.2464,0.563,0.3325,0.6794,1.95e-08
resnet18_version_12_6675,69,0.2458,0.5621,0.3334,0.6799,1.95e-08
resnet18_version_12_6675,70,0.2466,0.5634,0.3322,0.6783,1.95e-08
resnet18_version_12_6675,71,0.2463,0.5627,0.3321,0.679,1.95e-08
resnet18_version_12_6675,72,0.2461,0.5626,0.3327,0.679,1.95e-08
resnet18_version_12_6675,73,0.2464,0.5629,0.333,0.6796,1.95e-08
resnet18_version_12_6675,74,0.2469,0.5635,0.334,0.6804,1.95e-08
resnet18_version_12_6675,75,0.2461,0.5626,0.3333,0.6801,1.95e-08
resnet18_version_12_6675,76,0.2461,0.5626,0.333,0.6791,1.95e-08
resnet18_version_12_6675,77,0.2465,0.5633,0.3331,0.6789,1.95e-08
resnet18_version_12_6675,78,0.246,0.5624,0.3322,0.6785,1.95e-08
resnet18_version_12_6675,79,0.2459,0.5624,0.3333,0.6798,1.95e-08
resnet18_version_12_6675,80,0.2464,0.5632,0.3337,0.6794,1.95e-08
resnet18_version_12_6675,81,0.2454,0.5615,0.3328,0.6791,1.95e-08
resnet18_version_12_6675,82,0.2464,0.563,0.333,0.6802,1.95e-08
resnet18_version_12_6675,83,0.2455,0.5617,0.3324,0.6791,1.95e-08
resnet18_version_12_6675,84,0.2458,0.5621,0.3324,0.6789,1.95e-08
resnet18_version_12_6675,85,0.2458,0.5621,0.333,0.6798,1.95e-08
resnet18_version_12_6675,86,0.2466,0.5631,0.3329,0.6793,1.95e-08
resnet18_version_12_6675,87,0.2461,0.5624,0.333,0.6794,1.95e-08
resnet18_version_12_6675,88,0.2456,0.5616,0.332,0.6787,1.95e-08
resnet18_version_12_6675,89,0.2466,0.5632,0.3322,0.6784,1.95e-08
resnet18_version_12_6675,90,0.2462,0.5623,0.3328,0.6796,1.95e-08
resnet18_version_12_6675,91,0.2458,0.5622,0.334,0.6796,1.95e-08
resnet18_version_12_6675,92,0.2462,0.5626,0.3332,0.6797,1.95e-08
resnet18_version_12_6675,93,0.2462,0.5629,0.3332,0.6792,1.95e-08
resnet18_version_12_6675,94,0.2459,0.5626,0.334,0.6805,1.95e-08
resnet18_version_12_6675,95,0.2458,0.5618,0.3337,0.6795,1.95e-08
resnet18_version_12_6675,96,0.2459,0.5624,0.3324,0.6792,1.95e-08
resnet18_version_12_6675,97,0.2459,0.5623,0.3331,0.6797,1.95e-08
resnet18_version_12_6675,98,0.2455,0.5616,0.3326,0.679,1.95e-08
resnet18_version_12_6675,99,0.2462,0.5624,0.3342,0.6811,1.95e-08
resnet18_version_12_6675,100,0.2455,0.5617,0.3327,0.6792,1.95e-08
resnet18_version_13_6800,1,0.5751,0.9592,0.3932,0.7556,1e-05
resnet18_version_13_6800,2,0.4124,0.7809,0.3629,0.7218,1e-05
resnet18_version_13_6800,3,0.3887,0.7527,0.3451,0.6966,1e-05
resnet18_version_13_6800,4,0.3783,0.741,0.3416,0.6975,1e-05
resnet18_version_13_6800,5,0.3708,0.7317,0.3371,0.6918,1e-05
resnet18_version_13_6800,6,0.3659,0.7257,0.3357,0.6889,1e-05
resnet18_version_13_6800,7,0.3603,0.7181,0.3379,0.6966,1e-05
resnet18_version_13_6800,8,0.357,0.7145,0.3308,0.6847,1e-05
resnet18_version_13_6800,9,0.3522,0.7087,0.333,0.6836,1e-05
resnet18_version_13_6800,10,0.3492,0.7051,0.3271,0.6769,1e-05
resnet18_version_13_6800,11,0.3449,0.6996,0.3265,0.6788,1e-05
resnet18_version_13_6800,12,0.3425,0.6969,0.3254,0.677,1e-05
resnet18_version_13_6800,13,0.3386,0.6913,0.3288,0.6843,1e-05
resnet18_version_13_6800,14,0.3361,0.6884,0.3247,0.6761,1e-05
resnet18_version_13_6800,15,0.3325,0.6833,0.3299,0.6819,1e-05
resnet18_version_13_6800,16,0.3294,0.6794,0.3254,0.6744,1e-05
resnet18_version_13_6800,17,0.3258,0.6748,0.3243,0.6733,1e-05
resnet18_version_13_6800,18,0.3219,0.6695,0.3257,0.674,1e-05
resnet18_version_13_6800,19,0.3184,0.6653,0.3254,0.6737,1e-05
resnet18_version_13_6800,20,0.3149,0.6601,0.3331,0.6841,1e-05
resnet18_version_13_6800,21,0.3119,0.656,0.3298,0.6813,1e-05
resnet18_version_13_6800,22,0.3078,0.6505,0.3272,0.6762,1e-05
resnet18_version_13_6800,23,0.3042,0.6461,0.3285,0.6766,5e-06
resnet18_version_13_6800,24,0.2932,0.6312,0.33,0.6763,5e-06
resnet18_version_13_6800,25,0.2885,0.625,0.3311,0.6793,5e-06
resnet18_version_13_6800,26,0.2849,0.6205,0.3302,0.6785,5e-06
resnet18_version_13_6800,27,0.2818,0.6152,0.3369,0.6834,5e-06
resnet18_version_13_6800,28,0.2792,0.6122,0.3332,0.6815,5e-06
resnet18_version_13_6800,29,0.2761,0.6077,0.3346,0.6837,2.5e-06
resnet18_version_13_6800,30,0.2692,0.5987,0.3349,0.6832,2.5e-06
resnet18_version_13_6800,31,0.267,0.5957,0.3391,0.6885,2.5e-06
resnet18_version_13_6800,32,0.2641,0.5915,0.3374,0.6856,2.5e-06
resnet18_version_13_6800,33,0.2611,0.5873,0.3376,0.6854,2.5e-06
resnet18_version_13_6800,34,0.2604,0.586,0.3388,0.6869,2.5e-06
resnet18_version_13_6800,35,0.2589,0.5839,0.3405,0.6895,1.25e-06
resnet18_version_13_6800,36,0.2558,0.58,0.3412,0.6899,1.25e-06
resnet18_version_13_6800,37,0.2532,0.5763,0.3431,0.6925,1.25e-06
resnet18_version_13_6800,38,0.2526,0.5753,0.3423,0.6918,1.25e-06
resnet18_version_13_6800,39,0.2526,0.5752,0.3415,0.6897,1.25e-06
resnet18_version_13_6800,40,0.251,0.5733,0.343,0.6911,1.25e-06
